"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C5";"C_0603_1608Metric";1;"0.1u";;;
2;"C6";"C_0805_2012Metric";1;"470u";;;
3;"D1, D2, D3, D4";"D_1206_3216Metric";4;"SD1206T040S2R0";;;
4;"J1";"SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm";1;"MOT_1";;;
5;"J2";"SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm";1;"MOT_2";;;
6;"J3";"SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm";1;"MOT_3";;;
7;"J4";"SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm";1;"MOT_4";;;
8;"J5";"SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm";1;"BAT";;;
9;"Q1, Q2, Q3, Q4";"SOT-23";4;"AO3400A";;;
10;"R1, R2, R4, R7";"R_0603_1608Metric";4;"100";;;
11;"R3, R5, R6, R8";"R_0603_1608Metric";4;"10k";;;
12;"R13, R14";"R_0603_1608Metric";2;"470k";;;
13;"U1";"XIAO-MG24-DIP";1;"XIAO ESP32C3";;;
